Liiklusregistris 2017 aastal esmaselt registreeritud veesõidukid.;;;;;;;;;;
;;;;;;;;;;
Eestis esm reg kp;Liik;Tüüp;Kategooria;Mark;Mudel;Ehitusaasta;Kere materjal;Pikkus;Varasem kasutus;Arv
10.01.2017;Väikelaev;Mootorpaat;C;SILVER;FOX;2004;Alumiinium;4,85;;1
11.01.2017;Väikelaev;Mootorpaat;C;DULKAN;D-420 DZ;2016;Sünt. kangas;4,2;Uus sõiduk;1
12.01.2017;Väikelaev;Mootorpaat;D;TERHI;415 R;1989;Plastik;4,15;;1
13.01.2017;Väikelaev;Sõudepaat;D;AKVEREX;TRELO;2016;Plastik;3,35;Uus sõiduk;1
14.01.2017;Väikelaev;Mootorpaat;D;NORD;460D;2016;Plastik;4,6;Uus sõiduk;1
16.01.2017;Väikelaev;Mootorpaat;C;DULKAN;D-400;2016;Sünt. kangas;4;Uus sõiduk;1
17.01.2017;Alla 12m laev;Kalapaat;C;ROBUST;16;2016;Plastik;5,1;Uus sõiduk;1
17.01.2017;Väikelaev;Mootorpaat;D;PERLA;402;2016;Plastik;4;Uus sõiduk;1
17.01.2017;Väikelaev;Mootorpaat;D;TERHI;400;2013;Plastik;4,01;;1
17.01.2017;Väikelaev;Mootorpaat;D;SORSA;-;1974;Plastik;4,4;;1
17.01.2017;Väikelaev;Mootorpaat;D;SKIPP;440;2016;Plastik;4,4;Uus sõiduk;1
19.01.2017;Väikelaev;Mootorpaat;C;TERHI;NORDIC 6020;1999;Plastik;4,62;;1
19.01.2017;Väikelaev;Mootorpaat;C;BUSTER;XL PRO SC;2016;Alumiinium;5,94;Uus sõiduk;1
20.01.2017;Väikelaev;Mootorpaat;D;SEILSAT;C440A;2017;Plastik;4,4;Uus sõiduk;1
20.01.2017;Väikelaev;Mootorpaat;C;VIKSUND;25 SABB CRUISER;1986;Sünt. kangas;7,6;;1
23.01.2017;Väikelaev;Mootorpaat;D;VELES;360;2016;Sünt. kangas;3,6;Uus sõiduk;1
23.01.2017;Väikelaev;Purjejaht;A;VISIERS;41;1984;Plastik;12,47;;1
24.01.2017;Väikelaev;Purjejaht;B;ALBIN;VEGA;1976;Plastik;8,25;;1
25.01.2017;Väikelaev;Mootorpaat;C;DULKAN;D325;2017;Sünt. kangas;3,25;Uus sõiduk;1
27.01.2017;Väikelaev;Mootorpaat;C;FASTER;635;2017;Alumiinium;6,35;Uus sõiduk;1
27.01.2017;Väikelaev;Purjejaht;B;TUNAKRYSSARE;-;1981;Teras;10,5;;1
28.01.2017;Väikelaev;Mootorpaat;D;BUSTER;SUN R;1985;Alumiinium;3,9;;1
30.01.2017;Väikelaev;Mootorpaat;C;BENETEAU;BARRACUDA 8;2016;Plastik;6,98;Uus sõiduk;1
31.01.2017;Alla 12m laev;Tööpaat ;D;ZODIAC;CADET 270 AERO;2016;Plastik;2,7;Uus sõiduk;4
31.01.2017;Väikelaev;Mootorpaat;C;DULKAN;D345;2016;Sünt. kangas;3,45;Uus sõiduk;1
31.01.2017;Väikelaev;Mootorpaat;C;PARKER;660 WEEKEND;2016;Plastik;6,45;Uus sõiduk;1
01.02.2017;Väikelaev;Mootorpaat;C;FLIPPER;450 HT;1972;Plastik;4,5;;1
02.02.2017;Väikelaev;Mootorpaat;C;VIIKING;500;2015;Plastik;4,86;Uus sõiduk;1
02.02.2017;Väikelaev;Mootorpaat;C;BUSTER;L;2015;Alumiinium;5,19;Uus sõiduk;1
08.02.2017;Alla 12m laev;Kalapaat;D;NORDLINE;51 ;2016;Plastik;5,15;Uus sõiduk;1
09.02.2017;Väikelaev;Mootorpaat;C;NORDKAPP;AVANT 605 RANGER;2016;Alumiinium;6,06;Uus sõiduk;1
10.02.2017;Väikelaev;Sõudepaat;D;NORDLINE;41M;2017;Plastik;4,1;Uus sõiduk;1
14.02.2017;Väikelaev;Sõudepaat;D;NORDLINE;29;2015;Sünt. kangas;2,95;Uus sõiduk;1
14.02.2017;Väikelaev;Mootorpaat;D;SEA PRO;CM 320;2012;Sünt. kangas;3,2;;1
14.02.2017;Väikelaev;Mootorpaat;C;CATRAN;MARINE 320AB;2014;Sünt. kangas;3,2;;1
14.02.2017;Väikelaev;Mootorpaat;D;TERHI;410;1975;Plastik;4,1;;1
14.02.2017;Väikelaev;Mootorpaat;B;JEANNEAU;LEADER 805;1999;Plastik;7,8;;1
15.02.2017;Väikelaev;Mootorpaat;D;ORION;8;2006;Kumm;3;;1
15.02.2017;Väikelaev;Mootorpaat;C;FASTER;495 CC;2017;Alumiinium;4,96;Uus sõiduk;1
16.02.2017;Väikelaev;Mootorpaat;D;FINNSTELLA;SPORT;1974;Plastik;4,3;;1
16.02.2017;Väikelaev;Mootorpaat;D;AMUR;M;1981;Alumiinium;5,62;;1
17.02.2017;Alla 12m laev;Kalapaat;D;CURSUS;440;2016;Plastik;4,4;Uus sõiduk;1
17.02.2017;Väikelaev;Mootorpaat;D;CURSUS;440;2017;Plastik;4,4;Uus sõiduk;1
17.02.2017;Väikelaev;Mootorpaat;D;NORD;460D;2015;Plastik;4,6;Uus sõiduk;1
17.02.2017;Väikelaev;Mootorpaat;D;OMAVALMISTATUD;-;2017;Puit;4,6;Uus sõiduk;1
20.02.2017;Väikelaev;Mootorpaat;C;HONWAVE;T38IE2;2015;Sünt. kangas;3,76;Uus sõiduk;1
21.02.2017;Väikelaev;Mootorpaat;C;DULKAN;D325;2017;Sünt. kangas;3,25;Uus sõiduk;1
21.02.2017;Väikelaev;Mootorpaat;D;HIRVAS;435;1991;Plastik;4,35;;1
21.02.2017;Väikelaev;Mootorpaat;C;NORD;460C;2016;Plastik;4,6;Uus sõiduk;1
21.02.2017;Väikelaev;Mootorpaat;D;SEA RAY;190 SUN SPORT;1979;Plastik;5,2;;1
22.02.2017;Väikelaev;Sõudepaat;D;KIILI PAAT;440;2016;Plastik;4,4;Uus sõiduk;1
23.02.2017;Alla 12m laev;Kalapaat;C;MÄÄRAMATA;-;1987;Puit;5,9;;1
23.02.2017;Väikelaev;Mootorpaat;D;C-440 A;-;2016;Plastik;4,4;Uus sõiduk;1
27.02.2017;Väikelaev;Sõudepaat;D;CATRAN;GLIDE IBP-250;2014;Sünt. kangas;2,35;;1
27.02.2017;Väikelaev;Sõudepaat;D;CATRAN;GLIDE IBP-285;2014;Sünt. kangas;2,65;;1
27.02.2017;Väikelaev;Mootorpaat;D;ASTRA;415;2016;Plastik;4,15;Uus sõiduk;1
27.02.2017;Väikelaev;Mootorpaat;C;BUSTER;L 2;2014;Alumiinium;5,04;;1
01.03.2017;Väikelaev;Mootorpaat;C;DELPHIN;DK-330;2003;Sünt. kangas;3,3;;1
02.03.2017;Väikelaev;Sõudepaat;D;NORDLINE;28;2017;Plastik;2,85;Uus sõiduk;1
02.03.2017;Väikelaev;Mootorpaat;C;DM ASTRA;505;2013;Plastik;5,05;;1
03.03.2017;Väikelaev;Mootorpaat;D;NORDLINE;42;2016;Plastik;4,2;Uus sõiduk;1
03.03.2017;Väikelaev;Mootorpaat;D;C-440;-;2016;Plastik;4,4;Uus sõiduk;1
03.03.2017;Väikelaev;Mootorpaat;D;SEILSAT;C440;2016;Plastik;4,4;Uus sõiduk;1
04.03.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
06.03.2017;Väikelaev;Mootorpaat;C;REGAL;2300 RX SURF;2016;Sünt. kangas;7,3;Uus sõiduk;1
07.03.2017;Jett;Määramata;;YAMAHA;GP 1800;2017;Määramata;3,35;Uus sõiduk;1
07.03.2017;Väikelaev;Sõudepaat;C;AQUA STORM;STK300;2015;Sünt. kangas;3;Uus sõiduk;1
07.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
07.03.2017;Väikelaev;Mootorpaat;D;LAMI;405 R;1990;Plastik;4,05;;1
07.03.2017;Väikelaev;Mootorpaat;D;LAMI;420;1990;Plastik;4,2;;1
07.03.2017;Väikelaev;Mootorpaat;C;LINDER;SPORTSMAN 445 CATCH;2017;Alumiinium;4,51;Uus sõiduk;1
07.03.2017;Väikelaev;Mootorpaat;C;BUSTER;M CC;2016;Alumiinium;4,8;Uus sõiduk;1
07.03.2017;Väikelaev;Mootorpaat;C;JOONAS;600 HT;1982;Plastik;6;;1
07.03.2017;Väikelaev;Mootorpaat;C;HAMARIINA;640;1982;Plastik;6,45;;1
07.03.2017;Väikelaev;Mootorpaat;C;JURMO-CABIN;-;1987;Plastik;6,65;;1
08.03.2017;Väikelaev;Sõudepaat;D;DULKAN;290 D;2014;Sünt. kangas;2,9;;1
08.03.2017;Väikelaev;Mootorpaat;D;BELLA;450TL;1985;Plastik;4,4;;1
08.03.2017;Väikelaev;Mootorpaat;C;CRESCENT;495;1988;Plastik;4,68;;1
08.03.2017;Väikelaev;Mootorpaat;C;MARITIM;SCANTIC 500 HT;1976;Plastik;4,95;;1
08.03.2017;Väikelaev;Mootorpaat;B;NIMBUS;280 COUPE;2000;Plastik;8,6;;1
09.03.2017;Väikelaev;Sõudepaat;C;KOLIBRI;KM 280;2015;Sünt. kangas;2,8;Uus sõiduk;1
09.03.2017;Väikelaev;Mootorpaat;D;NORD;460D;2016;Plastik;4,6;Uus sõiduk;2
10.03.2017;Alla 12m laev;Kalapaat;C;ROBUST;16;2017;Plastik;5,1;Uus sõiduk;1
10.03.2017;Väikelaev;Sõudepaat;D;TERHI;SUNNY;2016;Plastik;3,1;Uus sõiduk;1
10.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D325;2016;Sünt. kangas;3,25;Uus sõiduk;1
10.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
10.03.2017;Väikelaev;Mootorpaat;D;YAMARIN;4110;2002;Plastik;4,25;;1
10.03.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
10.03.2017;Väikelaev;Mootorpaat;C;BENSOW;575;1980;Plastik;5,8;;1
13.03.2017;Väikelaev;Sõudepaat;D;ASTRA;315;2015;Plastik;3,15;Uus sõiduk;1
13.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D370;2017;Sünt. kangas;3,7;Uus sõiduk;1
14.03.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Muu;4,2;Uus sõiduk;1
15.03.2017;Väikelaev;Mootorpaat;C;KOLIBRI;KM 330;2014;Sünt. kangas;3,3;;1
15.03.2017;Väikelaev;Mootorpaat;C;AMBER;365;2016;Plastik;3,65;Uus sõiduk;1
15.03.2017;Väikelaev;Sõudepaat;D;KASSE;430;2014;Plastik;4,27;;1
15.03.2017;Väikelaev;Sõudepaat;D;KASSE;430;2010;Plastik;4,3;;2
15.03.2017;Väikelaev;Sõudepaat;D;KASSE;430;2011;Plastik;4,3;;1
16.03.2017;Väikelaev;Mootorpaat;D;PERLA;402;2016;Plastik;4;Uus sõiduk;1
16.03.2017;Väikelaev;Mootorpaat;C;AMBER;430;2014;Plastik;4,3;;1
16.03.2017;Väikelaev;Mootorpaat;C;ASTRA;435;2017;Plastik;4,3;Uus sõiduk;1
16.03.2017;Väikelaev;Mootorpaat;D;SEILSAT;C440A;2016;Plastik;4,4;Uus sõiduk;1
16.03.2017;Väikelaev;Mootorpaat;C;XO;270 RS CABIN OB;2016;Alumiinium;8,6;Uus sõiduk;1
18.03.2017;Väikelaev;Sõudepaat;D;RAPID;300;2007;Sünt. kangas;3;;1
18.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
20.03.2017;Väikelaev;Sõudepaat;D;AKVEREX;TRELO;2016;Plastik;3,35;Uus sõiduk;1
20.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D345;2017;Sünt. kangas;3,45;Uus sõiduk;1
20.03.2017;Väikelaev;Sõudepaat;D;ALUMACRAFT;1236 JON;2016;Alumiinium;3,66;Uus sõiduk;1
20.03.2017;Väikelaev;Mootorpaat;D;VATOR;15;1980;Plastik;4,2;;1
21.03.2017;Väikelaev;Mootorpaat;D;DULKAN;D-290 DL;2017;Sünt. kangas;2,9;Uus sõiduk;1
21.03.2017;Väikelaev;Sõudepaat;D;AQUA STORM;STM300;2016;Sünt. kangas;3;Uus sõiduk;1
21.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D325;2017;Sünt. kangas;3,25;Uus sõiduk;1
21.03.2017;Väikelaev;Mootorpaat;C;VIAMARE;330 ALU;2016;Sünt. kangas;3,3;;1
21.03.2017;Väikelaev;Mootorpaat;D;TERHI;400;2017;Plastik;4,01;Uus sõiduk;1
21.03.2017;Väikelaev;Mootorpaat;C;LATREX;430;2016;Plastik;4,3;Uus sõiduk;1
22.03.2017;Alla 12m laev;Kalapaat;D;KASSE;455R;2017;Plastik;4,57;Uus sõiduk;1
22.03.2017;Alla 12m laev;Kalapaat;D;CURSUS;550 ;2017;Plastik;5,4;Uus sõiduk;1
22.03.2017;Väikelaev;Sõudepaat;C;Z-RAY;III 400;2010;Sünt. kangas;3,1;;1
22.03.2017;Väikelaev;Mootorpaat;C;SEA DOO;SPEEDSTER;1998;Plastik;5,03;;1
22.03.2017;Väikelaev;Mootorpaat;C;BUSTER;LX;2011;Alumiinium;5,05;;1
22.03.2017;Väikelaev;Mootorpaat;C;BUSTER;X;2017;Alumiinium;5,25;Uus sõiduk;1
23.03.2017;Väikelaev;Sõudepaat;D;NORDLINE;29;2017;Plastik;2,95;Uus sõiduk;1
23.03.2017;Väikelaev;Mootorpaat;C;SUN CAP;605;1980;Plastik;6,05;;1
23.03.2017;Väikelaev;Mootorpaat;C;BUSTER;MAGNUM;1996;Alumiinium;6,2;;1
24.03.2017;Alla 12m laev;Kalapaat;D;KASSE;455R;2016;Plastik;4,57;Uus sõiduk;1
24.03.2017;Väikelaev;Sõudepaat;D;CATRAN;GLIDE IBP-300;2014;Sünt. kangas;2,85;;1
24.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D370;2017;Sünt. kangas;3,7;Uus sõiduk;1
24.03.2017;Väikelaev;Mootorpaat;D;ASTRA;415;2016;Plastik;4,15;Uus sõiduk;1
25.03.2017;Jett;Määramata;;SEA-DOO;GTI;1996;Määramata;3,02;;1
25.03.2017;Väikelaev;Sõudepaat;D;NORDLINE;41M;2017;Plastik;4,1;Uus sõiduk;1
25.03.2017;Väikelaev;Mootorpaat;D;FINNSPORT;410;1982;Plastik;4,35;;1
25.03.2017;Väikelaev;Mootorpaat;D;C-440 A;-;2016;Plastik;4,4;Uus sõiduk;1
27.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D370;2017;Sünt. kangas;3,7;Uus sõiduk;1
27.03.2017;Väikelaev;Sõudepaat;D;AKVEREX;400;2017;Plastik;4;Uus sõiduk;1
28.03.2017;Jett;Määramata;;YAMAHA;VXR;2017;Määramata;3,35;Uus sõiduk;1
28.03.2017;Väikelaev;Sõudepaat;D;VELES;275;2014;Sünt. kangas;2,75;;1
28.03.2017;Väikelaev;Mootorpaat;D;DULKAN;D-290 DL;2017;Sünt. kangas;2,9;Uus sõiduk;1
28.03.2017;Väikelaev;Mootorpaat;C;AQUA STORM;STK300;2016;Sünt. kangas;3;Uus sõiduk;1
28.03.2017;Väikelaev;Sõudepaat;C;CATRAN;MARINE 320AB;2014;Sünt. kangas;3,2;;1
28.03.2017;Väikelaev;Mootorpaat;C;GALA;A360D;2016;Plastik;3,6;Uus sõiduk;1
28.03.2017;Väikelaev;Mootorpaat;C;BRIG;FALCON 400;2017;Plastik;3,93;Uus sõiduk;1
28.03.2017;Väikelaev;Mootorpaat;C;TUNA;410;2014;Alumiinium;4,16;;1
28.03.2017;Väikelaev;Mootorpaat;D;OB;3;1987;Alumiinium;4,29;;1
28.03.2017;Väikelaev;Sõudepaat;D;KASSE;430R;2017;Plastik;4,33;Uus sõiduk;1
28.03.2017;Väikelaev;Mootorpaat;C;QUICKSILVER;460 CRUISER;2004;Plastik;4,45;;1
28.03.2017;Väikelaev;Mootorpaat;C;TUNA;460;2017;Alumiinium;4,58;Uus sõiduk;1
28.03.2017;Väikelaev;Mootorpaat;C;FLIPPER;600 SC;2017;Plastik;6,05;Uus sõiduk;1
28.03.2017;Väikelaev;Purjejaht;C;ALLEGRO;27;1976;Plastik;8,03;;1
28.03.2017;Väikelaev;Mootorpaat;C;FLIPPER;880 ST;2017;Plastik;8,52;Uus sõiduk;1
29.03.2017;Väikelaev;Mootorpaat;C;DULKAN;D370;2017;Sünt. kangas;3,7;Uus sõiduk;1
29.03.2017;Väikelaev;Sõudepaat;D;KASSE;430;2016;Plastik;4,27;Uus sõiduk;1
29.03.2017;Väikelaev;Mootorpaat;C;ASTRA;435;2016;Plastik;4,3;Uus sõiduk;1
30.03.2017;Väikelaev;Sõudepaat;D;NORDLINE;29;2017;Plastik;2,95;Uus sõiduk;1
30.03.2017;Väikelaev;Sõudepaat;D;KASSE;380 R;2016;Plastik;3,81;Uus sõiduk;1
30.03.2017;Väikelaev;Mootorpaat;C;OMEGA;TP400KU;2017;Sünt. kangas;4;Uus sõiduk;1
30.03.2017;Väikelaev;Mootorpaat;C;ZODIAC;PRO 7 MAN;2017;Sünt. kangas;4,2;Uus sõiduk;1
30.03.2017;Väikelaev;Sõudepaat;D;PELLA;NOVA;2016;Plastik;4,4;Uus sõiduk;1
30.03.2017;Väikelaev;Mootorpaat;C;FLIPPER;640 DC;2017;Plastik;6,25;Uus sõiduk;1
31.03.2017;Väikelaev;Sõudepaat;D;CHEYENNE III;400;2011;Kumm;2,84;;1
31.03.2017;Väikelaev;Mootorpaat;C;CATRAN;ENDURO 380 PG;2013;Sünt. kangas;3,8;;1
31.03.2017;Väikelaev;Sõudepaat;D;PELLA;MINI;2017;Plastik;4;Uus sõiduk;1
31.03.2017;Väikelaev;Sõudepaat;D;KASSE;430;2016;Plastik;4,27;Uus sõiduk;1
31.03.2017;Väikelaev;Mootorpaat;D;C-440;-;2016;Plastik;4,4;Uus sõiduk;1
31.03.2017;Väikelaev;Mootorpaat;C;REMUS;440;2017;Plastik;4,4;Uus sõiduk;1
31.03.2017;Väikelaev;Sõudepaat;D;ROBUST;15;2017;Plastik;4,47;Uus sõiduk;1
31.03.2017;Väikelaev;Mootorpaat;D;NORD;460D;2016;Plastik;4,6;Uus sõiduk;1
31.03.2017;Väikelaev;Mootorpaat;C;RYDS;485 FC;2000;Plastik;4,85;;1
01.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-420 DZ;2017;Sünt. kangas;4,2;Uus sõiduk;1
03.04.2017;Väikelaev;Sõudepaat;D;LATREX;275;2016;Plastik;2,75;Uus sõiduk;1
03.04.2017;Väikelaev;Sõudepaat;D;WIGRY;355;2016;Plastik;3,55;Uus sõiduk;1
03.04.2017;Väikelaev;Mootorpaat;C;REGAL;2100;2015;Sünt. kangas;6,4;Uus sõiduk;1
04.04.2017;Väikelaev;Sõudepaat;D;KASSE;430;2017;Plastik;4,27;Uus sõiduk;1
04.04.2017;Väikelaev;Mootorpaat;D;CURSUS;440;2017;Plastik;4,4;Uus sõiduk;1
05.04.2017;Alla 12m laev;Kalapaat;C;LIU PAAT OÜ;-;2001;Plastik;5;;1
05.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
05.04.2017;Väikelaev;Mootorpaat;C;RUNOS;RY B330;2015;Sünt. kangas;3,3;Uus sõiduk;1
05.04.2017;Väikelaev;Mootorpaat;D;VELES;330;2015;Sünt. kangas;3,3;Uus sõiduk;1
05.04.2017;Väikelaev;Sõudepaat;D;AKVEREX;TRELO;2017;Plastik;3,35;Uus sõiduk;1
05.04.2017;Väikelaev;Mootorpaat;C;REMUS;420;2016;Plastik;4,26;Uus sõiduk;1
05.04.2017;Väikelaev;Sõudepaat;D;KASSE;430;2017;Plastik;4,27;Uus sõiduk;1
05.04.2017;Väikelaev;Mootorpaat;D;BELLA;440TL;1984;Plastik;4,4;;1
05.04.2017;Väikelaev;Mootorpaat;C;SEA RAY;175;2010;Plastik;5,3;;1
05.04.2017;Väikelaev;Mootorpaat;B;AXOPAR;37C;2017;Plastik;11,2;Uus sõiduk;1
06.04.2017;Väikelaev;Sõudepaat;D;CATRAN;GLIDE IBP-285;2014;Sünt. kangas;2,65;;1
06.04.2017;Väikelaev;Mootorpaat;C;BUSH;CRAB K-360;2017;Sünt. kangas;3,6;Uus sõiduk;1
06.04.2017;Väikelaev;Mootorpaat;D;C-440;-;2016;Plastik;4,4;Uus sõiduk;1
06.04.2017;Väikelaev;Mootorpaat;C;TERHI;445 C;2017;Plastik;4,45;Uus sõiduk;1
06.04.2017;Väikelaev;Mootorpaat;C;BUSTER;M;2003;Alumiinium;4,6;;1
06.04.2017;Väikelaev;Mootorpaat;C;MICROPLUS;-;1997;Plastik;5;;1
06.04.2017;Väikelaev;Mootorpaat;C;SILVER;WOLF DC510;2015;Alumiinium;5,1;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;D;CATRAN;MARINE 320AB ;2014;Sünt. kangas;3,2;;1
07.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;D;PERLA;402;2017;Plastik;4;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;C;CATRAN;MARINE 420 AB;2014;Sünt. kangas;4,2;;1
07.04.2017;Väikelaev;Mootorpaat;D;MARINO;-;1985;Plastik;4,25;;1
07.04.2017;Väikelaev;Mootorpaat;C;AMBER;430;2016;Plastik;4,3;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;C;TERHI;445 C;2017;Plastik;4,45;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;D;PERLA;455;2016;Plastik;4,5;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;D;NORD;460D;2016;Plastik;4,6;Uus sõiduk;1
07.04.2017;Väikelaev;Mootorpaat;C;FISKARI;25;1980;Plastik;7,5;;1
07.04.2017;Väikelaev;Mootorpaat;B;BAYLINER;285 SB;2000;Plastik;8,76;;1
07.04.2017;Väikelaev;Purjejaht;B;BOSTRÖM;B31;1973;Plastik;9,34;;1
08.04.2017;Väikelaev;Mootorpaat;C;GLADIATOR;330;2016;Sünt. kangas;3,3;Uus sõiduk;1
10.04.2017;Alla 12m laev;Tööpaat ;C;MÄÄRAMATA;-;1984;Alumiinium;10,3;;1
10.04.2017;Väikelaev;Mootorpaat;D;TERHI;415 R;1988;Plastik;4,15;;1
